dataset,metric,value
transactions,raw_rows,20400
transactions,exact_duplicate_rows_removed,400
transactions,conflicting_duplicate_txn_id_rows,0
transactions,amount_invalid_unparseable,0
transactions,amount_negative_sign_flagged,420
transactions,timestamp_invalid_unparseable,0
transactions,timestamp_epoch_converted,990
transactions,utr_missing,1000
transactions,utr_invalid_format,0
transactions,mcc_missing,2872
transactions,status_unrecognized_values,0
transactions,rows_retained,20000
transactions,rows_removed,400
kyc_records,raw_rows,36400
kyc_records,exact_duplicate_rows_removed,278
kyc_records,user_id_identity_collision_rows,13316
kyc_records,pan_missing,1883
kyc_records,pan_invalid_format,2631
kyc_records,aadhaar_missing,2641
kyc_records,aadhaar_masked,2896
kyc_records,aadhaar_invalid_length,3237
kyc_records,dob_missing,2921
kyc_records,dob_invalid_unparseable,3
kyc_records,dob_implausible_age_flagged,0
kyc_records,income_missing_blank,2906
kyc_records,income_disguised_null,1778
kyc_records,income_invalid_unparseable,0
kyc_records,signup_missing,2886
kyc_records,signup_invalid_unparseable,0
kyc_records,rows_retained,36122
kyc_records,rows_removed,278
merchants_master,raw_rows,6210
merchants_master,exact_duplicate_rows_removed,12
merchants_master,merchant_id_identity_collision_rows,3262
merchants_master,mcc_missing,692
merchants_master,merchant_category_unmapped_values,0
merchants_master,merchant_category_distinct_after_cleaning,12
merchants_master,onboarding_date_missing,499
merchants_master,onboarding_date_invalid,0
merchants_master,settlement_account_missing,2445
merchants_master,ticket_size_missing,371
merchants_master,ticket_size_negative_flagged,501
merchants_master,rows_retained,6198
merchants_master,rows_removed,12
chargebacks,raw_rows,2884
chargebacks,exact_duplicate_rows_removed,84
chargebacks,txn_id_missing_blank,77
chargebacks,transactions_with_multiple_chargebacks,151
chargebacks,transaction_timestamp_missing,230
chargebacks,transaction_timestamp_invalid,0
chargebacks,reported_timestamp_missing,203
chargebacks,reported_timestamp_invalid,0
chargebacks,bank_response_timestamp_missing,701
chargebacks,disputed_amount_missing_blank,179
chargebacks,disputed_amount_negative_flagged,220
chargebacks,reason_code_distinct_after_cleaning,6
chargebacks,severity_unrecognized_values,0
chargebacks,rows_retained,2800
chargebacks,rows_removed,84
