dataset,column,row_count,null_count,null_pct,unique_count,duplicate_full_rows_in_dataset
transactions,txn_id,20000,0,0.0,20000,0
transactions,timestamp,20000,0,0.0,19066,0
transactions,user_id,20000,0,0.0,17878,0
transactions,merchant_id,20000,0,0.0,8051,0
transactions,amount,20000,0,0.0,19837,0
transactions,utr,20000,1000,5.0,19000,0
transactions,mcc,20000,2872,14.36,5,0
transactions,status,20000,0,0.0,4,0
transactions,amount_raw,20000,0,0.0,19900,0
transactions,amount_had_negative_sign,20000,0,0.0,2,0
transactions,timestamp_raw,20000,0,0.0,19083,0
transactions,timestamp_was_epoch,20000,0,0.0,2,0
transactions,utr_raw,20000,1000,5.0,19000,0
transactions,utr_is_invalid_format,20000,0,0.0,1,0
transactions,mcc_raw,20000,2872,14.36,6,0
transactions,status_raw,20000,0,0.0,14,0
transactions,is_conflicting_duplicate_id,20000,0,0.0,1,0
kyc_records,user_id,36122,0,0.0,28920,0
kyc_records,full_name,36122,0,0.0,33921,0
kyc_records,pan,36122,1883,5.21,33164,0
kyc_records,aadhaar,36122,2641,7.31,32093,0
kyc_records,date_of_birth,36122,2924,8.09,14718,0
kyc_records,city,36122,0,0.0,19,0
kyc_records,state,36122,0,0.0,9,0
kyc_records,monthly_income,36122,4684,12.97,21922,0
kyc_records,occupation,36122,0,0.0,9,0
kyc_records,signup_timestamp,36122,2886,7.99,12148,0
kyc_records,kyc_status,36122,0,0.0,4,0
kyc_records,risk_segment,36122,0,0.0,4,0
kyc_records,user_id_raw,36122,0,0.0,32165,0
kyc_records,user_id_has_identity_collision,36122,0,0.0,2,0
kyc_records,pan_raw,36122,1883,5.21,33164,0
kyc_records,pan_status,36122,0,0.0,3,0
kyc_records,aadhaar_raw,36122,2641,7.31,32093,0
kyc_records,aadhaar_status,36122,0,0.0,4,0
kyc_records,date_of_birth_raw,36122,2921,8.09,29284,0
kyc_records,age_years,36122,2924,8.09,481,0
kyc_records,dob_implausible_age_flag,36122,0,0.0,1,0
kyc_records,monthly_income_raw,36122,2906,8.04,26034,0
kyc_records,city_raw,36122,0,0.0,41,0
kyc_records,signup_timestamp_raw,36122,2886,7.99,14607,0
kyc_records,kyc_status_raw,36122,0,0.0,16,0
kyc_records,risk_segment_raw,36122,0,0.0,12,0
merchants_master,merchant_id,6198,0,0.0,4343,0
merchants_master,merchant_name,6198,0,0.0,5676,0
merchants_master,mcc,6198,692,11.16,10,0
merchants_master,merchant_category,6198,0,0.0,12,0
merchants_master,business_type,6198,0,0.0,4,0
merchants_master,city,6198,0,0.0,19,0
merchants_master,state,6198,0,0.0,9,0
merchants_master,onboarding_date,6198,499,8.05,2998,0
merchants_master,merchant_status,6198,0,0.0,4,0
merchants_master,declared_avg_ticket_size,6198,371,5.99,5495,0
merchants_master,merchant_id_raw,6198,0,0.0,5083,0
merchants_master,merchant_id_has_identity_collision,6198,0,0.0,2,0
merchants_master,mcc_raw,6198,513,8.28,42,0
merchants_master,merchant_category_raw,6198,0,0.0,82,0
merchants_master,merchant_category_was_mapped,6198,0,0.0,1,0
merchants_master,business_type_raw,6198,0,0.0,14,0
merchants_master,city_raw,6198,0,0.0,41,0
merchants_master,onboarding_date_raw,6198,499,8.05,4399,0
merchants_master,settlement_account_raw_present,6198,0,0.0,2,0
merchants_master,settlement_account_masked,6198,2445,39.45,3021,0
merchants_master,merchant_status_raw,6198,0,0.0,15,0
merchants_master,declared_avg_ticket_size_raw,6198,371,5.99,5520,0
merchants_master,declared_avg_ticket_size_had_negative_sign,6198,0,0.0,2,0
chargebacks,complaint_id,2800,0,0.0,2800,0
chargebacks,txn_id,2800,77,2.75,2567,0
chargebacks,user_id,2800,0,0.0,2294,0
chargebacks,merchant_id,2800,0,0.0,1855,0
chargebacks,transaction_timestamp,2800,230,8.21,969,0
chargebacks,reported_timestamp,2800,203,7.25,1026,0
chargebacks,disputed_amount,2800,179,6.39,2601,0
chargebacks,reason_code,2800,0,0.0,6,0
chargebacks,complaint_text,2800,0,0.0,84,0
chargebacks,resolution_status,2800,0,0.0,8,0
chargebacks,bank_response_timestamp,2800,701,25.04,844,0
chargebacks,severity,2800,0,0.0,4,0
chargebacks,channel,2800,0,0.0,6,0
chargebacks,txn_id_raw,2800,77,2.75,2581,0
chargebacks,user_id_raw,2800,0,0.0,2454,0
chargebacks,merchant_id_raw,2800,0,0.0,2051,0
chargebacks,transaction_timestamp_raw,2800,230,8.21,1237,0
chargebacks,reported_timestamp_raw,2800,203,7.25,1328,0
chargebacks,bank_response_timestamp_raw,2800,701,25.04,1148,0
chargebacks,report_delay_days,2800,412,14.71,1340,0
chargebacks,disputed_amount_raw,2800,179,6.39,2608,0
chargebacks,disputed_amount_had_negative_sign,2800,0,0.0,2,0
chargebacks,reason_code_raw,2800,0,0.0,34,0
chargebacks,resolution_status_raw,2800,0,0.0,13,0
chargebacks,severity_raw,2800,0,0.0,16,0
chargebacks,channel_raw,2800,0,0.0,8,0
